id,name,roman_name,group_division_ids/id,sections_ids/id,subjects_ids/id
__export__.eagleedu_class_1_c26c2c03,Class 1,I,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd,__export__.eagleedu_class_section_3_7a8cb341,__export__.eagleedu_class_section_4_3196c8ea","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_2_a0775fbd,Class 2,II,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd,__export__.eagleedu_class_section_3_7a8cb341,__export__.eagleedu_class_section_4_3196c8ea","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_3_dd933721,Class 3,III,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_4_e2c4ee91,Class 4,IV,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_5_f04afd7e,Class 5,V,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_6_32a8d933,Class 6,VI,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_7_afc0561a,Class 7,VII,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1"
__export__.eagleedu_class_8_49833172,Class 8,VIII,,"__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1,__export__.eagleedu_subject_7_b0f479ad,__export__.eagleedu_subject_8_ad995928,__export__.eagleedu_subject_9_5eabee1a,__export__.eagleedu_subject_10_f310cd2a,__export__.eagleedu_subject_11_c5b94efe,__export__.eagleedu_subject_12_0a5ac2c6,__export__.eagleedu_subject_13_547d2abd,__export__.eagleedu_subject_14_734ee6c4,__export__.eagleedu_subject_15_f15db260,__export__.eagleedu_subject_16_6037796a,__export__.eagleedu_subject_17_611ecc8e,__export__.eagleedu_subject_18_c49b6f76"
__export__.eagleedu_class_9_7b4865d3,Class 9,IX,"__export__.eagleedu_group_division_1_c276788b,__export__.eagleedu_group_division_2_94a2a14c,__export__.eagleedu_group_division_3_febc92c2","__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1,__export__.eagleedu_subject_7_b0f479ad,__export__.eagleedu_subject_8_ad995928,__export__.eagleedu_subject_9_5eabee1a,__export__.eagleedu_subject_10_f310cd2a,__export__.eagleedu_subject_11_c5b94efe,__export__.eagleedu_subject_12_0a5ac2c6,__export__.eagleedu_subject_13_547d2abd,__export__.eagleedu_subject_14_734ee6c4,__export__.eagleedu_subject_15_f15db260,__export__.eagleedu_subject_16_6037796a,__export__.eagleedu_subject_17_611ecc8e,__export__.eagleedu_subject_18_c49b6f76"
__export__.eagleedu_class_10_ace124e0,Class 10,X,"__export__.eagleedu_group_division_1_c276788b,__export__.eagleedu_group_division_2_94a2a14c,__export__.eagleedu_group_division_3_febc92c2","__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1,__export__.eagleedu_subject_7_b0f479ad,__export__.eagleedu_subject_8_ad995928,__export__.eagleedu_subject_9_5eabee1a,__export__.eagleedu_subject_10_f310cd2a,__export__.eagleedu_subject_11_c5b94efe,__export__.eagleedu_subject_12_0a5ac2c6,__export__.eagleedu_subject_13_547d2abd,__export__.eagleedu_subject_14_734ee6c4,__export__.eagleedu_subject_15_f15db260,__export__.eagleedu_subject_16_6037796a,__export__.eagleedu_subject_17_611ecc8e,__export__.eagleedu_subject_18_c49b6f76"
__export__.eagleedu_class_11_2ab59dc1,Class 11,XI,"__export__.eagleedu_group_division_1_c276788b,__export__.eagleedu_group_division_2_94a2a14c,__export__.eagleedu_group_division_3_febc92c2","__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1,__export__.eagleedu_subject_7_b0f479ad,__export__.eagleedu_subject_8_ad995928,__export__.eagleedu_subject_9_5eabee1a,__export__.eagleedu_subject_10_f310cd2a,__export__.eagleedu_subject_11_c5b94efe,__export__.eagleedu_subject_12_0a5ac2c6,__export__.eagleedu_subject_13_547d2abd,__export__.eagleedu_subject_14_734ee6c4,__export__.eagleedu_subject_15_f15db260,__export__.eagleedu_subject_16_6037796a,__export__.eagleedu_subject_17_611ecc8e,__export__.eagleedu_subject_18_c49b6f76"
__export__.eagleedu_class_12_ba8d5b68,Class 12,XII,"__export__.eagleedu_group_division_1_c276788b,__export__.eagleedu_group_division_2_94a2a14c,__export__.eagleedu_group_division_3_febc92c2","__export__.eagleedu_class_section_1_7aa0d227,__export__.eagleedu_class_section_2_14905abd","__export__.eagleedu_subject_1_e12b50df,__export__.eagleedu_subject_2_9041ec0d,__export__.eagleedu_subject_3_b9eef94f,__export__.eagleedu_subject_4_4eb3bf95,__export__.eagleedu_subject_5_00dbc381,__export__.eagleedu_subject_6_69dd0ca1,__export__.eagleedu_subject_7_b0f479ad,__export__.eagleedu_subject_8_ad995928,__export__.eagleedu_subject_9_5eabee1a,__export__.eagleedu_subject_10_f310cd2a,__export__.eagleedu_subject_11_c5b94efe,__export__.eagleedu_subject_12_0a5ac2c6,__export__.eagleedu_subject_13_547d2abd,__export__.eagleedu_subject_14_734ee6c4,__export__.eagleedu_subject_15_f15db260,__export__.eagleedu_subject_16_6037796a,__export__.eagleedu_subject_17_611ecc8e,__export__.eagleedu_subject_18_c49b6f76"
